,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,0
description,31
neighborhood_overview,2754
picture_url,0
host_id,0
host_url,0
host_name,0
host_since,0
host_location,3367
host_about,2999
host_response_time,1028
host_response_rate,1028
host_acceptance_rate,768
host_is_superhost,31
host_thumbnail_url,0
host_picture_url,0
host_neighbourhood,3861
host_listings_count,0
host_total_listings_count,0
host_verifications,0
host_has_profile_pic,0
host_identity_verified,0
neighbourhood,2754
neighbourhood_cleansed,0
neighbourhood_group_cleansed,9823
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,9823
bathrooms_text,74
bedrooms,722
beds,387
amenities,0
price,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,30
maximum_minimum_nights,30
minimum_maximum_nights,30
maximum_maximum_nights,30
minimum_nights_avg_ntm,30
maximum_nights_avg_ntm,30
calendar_updated,9823
has_availability,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,1527
last_review,1527
review_scores_rating,1527
review_scores_accuracy,1535
review_scores_cleanliness,1535
review_scores_checkin,1535
review_scores_communication,1535
review_scores_location,1535
review_scores_value,1535
license,34
instant_bookable,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,1527
